,0
0,110440.49171928996
1,171303.8195467373
2,170566.52843358368
3,197693.64023747836
4,228222.70460781344
5,170631.65791759526
6,188610.11354985114
7,158025.199882744
8,197843.99677421825
9,117514.88085605034
10,178932.71193719102
11,84486.84029302548
12,76973.10300660743
13,152964.04638428875
14,105296.13593870247
15,357908.10579700663
16,272757.79322314495
17,310686.51219640137
18,299196.0836923618
19,416022.3356288065
20,306188.99104303133
21,226030.1753369552
22,177688.24641396917
23,164980.24778241865
24,197992.23724036137
25,203806.16420023935
26,327729.39320747904
27,236776.53709436726
28,210748.41881123596
29,237975.09572764894
30,199918.70118611428
31,109394.72857576486
32,200540.9840444186
33,307460.7220101458
34,308190.05949080305
35,226933.70338368224
36,176290.83462159752
37,151332.44277531627
38,172992.71910532855
39,166971.98673541652
40,175779.32527776022
41,150131.71262113366
42,275999.2320102515
43,245638.69710680953
44,230918.48818057135
45,202287.14870390916
46,248549.79801872358
47,198185.33271638647
48,161265.53413708665
49,147557.763194449
50,146807.483131735
51,183106.90909958276
52,148012.91289502475
53,148932.31532528688
54,203319.9385307354
55,153847.14904098047
56,162316.2861491035
57,116154.39423847344
58,210073.20159931376
59,130665.92209686343
60,126398.02264587393
61,182405.10508112633
62,101574.99115841015
63,111989.74070687853
64,110227.76240765823
65,92745.50661828362
66,100888.15728755735
67,141032.70515741294
68,134798.96211781778
69,203872.8212223432
70,142128.4703413128
71,100651.39333378064
72,156137.23327041307
73,122464.13999817906
74,153426.24384616766
75,100545.73261453047
76,50594.317593480664
77,181401.5190373404
78,221664.7437185917
79,119182.08600709509
80,127633.78320351952
81,131570.54044514603
82,180968.98447976517
83,91827.76010484489
84,131566.9527732862
85,141968.21103955974
86,134570.77614222135
87,143997.23378677323
88,126565.25605083129
89,137821.75989526592
90,119475.88693596885
91,158658.41661353386
92,163855.11308230093
93,127575.51118999821
94,170193.04024611216
95,118238.09901842216
96,103725.88954722235
97,99825.34485747262
98,88471.28875127135
99,135611.6862991728
100,122001.3780283162
101,125282.07297998702
102,120172.55577968087
103,153042.94233037854
104,140283.80213191523
105,247190.30530923296
106,68096.0275100228
107,244906.24809504297
108,109977.89507478732
109,139191.71864858753
110,108490.53120116252
111,131459.4024172565
112,224165.43287303482
113,116131.10778157745
114,238133.11331965323
115,261071.1577977918
116,184111.77020729173
117,162543.97289327346
118,138906.62237054773
119,190518.8972975366
120,162749.21387119542
121,132959.12037130864
122,290203.7351283749
123,232478.90988506968
124,155058.00357925534
125,36058.54565817566
126,100040.9757431631
127,152163.11657003258
128,108665.82217143978
129,118902.97394385992
130,88978.30013638844
131,94590.03836274789
132,136224.53399685613
133,143565.9312749182
134,117388.53811060649
135,230203.46931798372
136,189809.6955407693
137,204196.43121651004
138,183148.15178790045
139,170265.35137830125
140,37431.09952657981
141,118039.52364820462
142,58274.010124228924
143,249632.67641339294
144,237687.2627916761
145,174362.8719519542
146,154352.06832701477
147,224100.28140794428
148,218022.84908476518
149,162279.15346041572
150,144723.83489851037
151,153307.52997991198
152,152239.1131134664
153,127384.26983282363
154,72236.59340889797
155,40685.97186133312
156,62057.39932995572
157,106792.34844980575
158,153014.24547175938
159,167930.59792831694
160,124160.36130531797
161,139630.67308947604
162,256582.80866744948
163,209127.8864321566
164,107629.08612838147
165,174560.9182596566
166,185259.8966967546
167,263067.2436622066
168,179874.4887705232
169,334177.18186789047
170,217325.4768958735
171,251912.09331154512
172,183410.39490164648
173,187873.52876969287
174,182204.13223820474
175,157722.38522080597
176,198276.00670876604
177,213944.4907663783
178,192828.3433516433
179,255841.5716362481
180,186438.2678800994
181,248371.65949798597
182,232769.19862501163
183,233735.08570489672
184,245880.04403195286
185,179298.01374734385
186,162700.86821522715
187,116922.52742392909
188,126814.93049379533
189,115713.6261208174
190,107960.86072068207
191,88505.06428943556
192,92981.63962208321
193,134170.28708280233
194,135944.4967387818
195,133120.6112840664
196,137797.33887577808
197,136414.0597876149
198,111777.27897355646
199,150318.3204100668
200,406254.0074362871
201,372988.63472251676
202,354777.1428431262
203,445047.77057616157
204,312271.34641043236
205,318571.0161794853
206,353938.987770463
207,341961.0086159114
208,309624.0445304862
209,344173.40752072673
210,289372.45555310545
211,386145.7442088352
212,301468.5218606368
213,259789.80615254567
214,216949.4526571934
215,231523.71842118597
216,237307.5863449995
217,418753.08390337776
218,350280.0669650507
219,330887.43717085425
220,277170.88970972016
221,308532.5852949412
222,216522.23865018616
223,194720.15293462732
224,178346.02986348674
225,166919.62812399724
226,177271.35843052214
227,196036.3286375954
228,200615.94906218222
229,207575.6989527235
230,197746.17203730613
231,249468.13940602363
232,182433.71496407036
233,178660.36550750618
234,170881.94453363106
235,281175.2221128395
236,172877.8391674734
237,350227.93427928287
238,329533.6512915742
239,285208.36549459083
240,296481.09095015656
241,239642.80404068425
242,245583.75373487626
243,264104.0590330884
244,233155.83490771623
245,380751.350884437
246,213290.7878489055
247,212309.33328165225
248,243268.33107964636
249,215751.37337097514
250,264593.20126717247
251,264291.1616380368
252,276668.7407844913
253,226230.4580288833
254,210778.55740124558
255,180946.21852856092
256,183598.5043479893
257,130760.08246296237
258,208097.7055819498
259,227532.50468660716
260,167330.41503906526
261,114187.66072429568
262,152882.9594318333
263,220701.53229116244
264,244511.8963825873
265,193103.80682089718
266,150924.31283710263
267,185507.00345423524
268,169935.40768754622
269,171704.3609949688
270,118450.87906600676
271,106977.9507323443
272,102659.25978198553
273,100148.22845106204
274,128220.54145009484
275,96774.57603683036
276,318522.0672256088
277,285346.02782964526
278,269754.4713202769
279,211666.49989944795
280,187485.26330995778
281,170721.01491778038
282,188142.7387897248
283,308976.883468161
284,228911.14994882117
285,233445.94173684844
286,245053.18884752525
287,242126.3699506372
288,153645.2022391216
289,138146.4659369606
290,254375.7159504458
291,109929.71762575883
292,148996.91768139828
293,212060.26691276586
294,167280.21352227856
295,133197.6006648672
296,111350.77946513447
297,146309.96190093888
298,162153.81977051773
299,166608.48418831461
300,150754.7896521572
301,170888.50803518883
302,181134.14702027454
303,109773.37638728107
304,173356.51454984868
305,201592.61809343132
306,222913.87346727223
307,149700.29270579634
